"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"110,2008,NBA,1,15,PHO,Robin Lopez\lopezro01,20.091,C,us,Stanford University,2009,2019,766,23.0,9.1,5.3,0.8,0.2,1.2,.531,.534,.216,.757,43.0,.117"
"111,2002,NBA,2,46,MEM,Matt Barnes\barnema02,22.114,F,us,University of California Los Angeles,2004,2017,929,23.6,8.2,4.6,1.8,0.8,0.5,.436,.522,.335,.745,42.8,.093"
"112,2005,NBA,2,33,NOH,Brandon Bass\bassbr01,20.064,F,us,Louisiana State University,2006,2017,758,21.6,8.7,4.5,0.8,0.4,0.6,.499,.502,.207,.832,42.8,.125"
"113,2007,NBA,1,22,CHA,Jared Dudley\dudleja01,21.358,F-G,us,Boston College,2008,2019,847,23.2,7.7,3.3,1.6,0.8,0.2,.465,.519,.392,.732,42.1,.103"
"114,2009,NBA,1,18,MIN,Ty Lawson\lawsoty01,21.240,G,us,University of North Carolina,2010,2017,551,29.2,12.7,2.7,6.0,1.2,0.1,.460,.493,.359,.770,42.1,.126"
"115,2005,NBA,2,40,GSW,Monta Ellis\ellismo01,19.250,G,us,,2006,2017,833,34.8,17.8,3.5,4.6,1.7,0.3,.451,.482,.314,.772,41.9,.069"
"116,2008,NBA,1,9,CHA,D.J. Augustin\augusdj01,20.234,G,us,University of Texas at Austin,2009,2019,807,24.1,9.8,1.9,4.0,0.6,0.0,.413,.438,.381,.863,41.9,.104"
"117,2011,NBA,1,16,PHI,Nikola Vu?evi?\vucevni01,20.247,C,ch,University of Southern California,2012,2019,536,30.0,15.7,10.1,2.4,0.9,0.9,.502,.515,.332,.741,41.7,.124"
"118,2010,NBA,1,13,TOR,Ed Davis\davised01,21.024,F,us,University of North Carolina,2011,2019,640,20.2,6.5,6.8,0.8,0.5,0.8,.569,.570,.000,.584,41.3,.153"
"119,2005,NBA,1,5,CHA,Raymond Felton\feltora01,21.007,G,us,University of North Carolina,2006,2019,971,29.7,11.2,3.0,5.2,1.2,0.2,.412,.445,.329,.790,40.2,.067"
"120,2007,NBA,1,5,BOS,Jeff Green\greenje02,20.309,F,us,Georgetown University,2008,2019,860,30.0,13.2,4.5,1.6,0.7,0.5,.441,.483,.333,.805,40.2,.075"
"121,2003,NBA,2,47,UTA,Mo Williams\willima01,20.194,G,us,University of Alabama,2004,2016,818,29.2,13.2,2.8,4.9,0.9,0.1,.434,.460,.378,.871,40.0,.080"
"122,2011,NBA,1,4,CLE,Tristan Thompson\thomptr01,20.107,F-C,ca,University of Texas at Austin,2012,2019,562,27.8,9.2,8.6,0.9,0.5,0.7,.519,.520,.000,.610,40.0,.123"
"123,2011,NBA,1,3,UTA,Enes Kanter\kanteen01,19.038,C,ch,,2012,2019,583,22.2,11.9,7.6,0.8,0.4,0.4,.541,.548,.294,.780,39.6,.147"
"124,2011,NBA,1,19,CHA,Tobias Harris\harrito02,18.347,F,us,University of Tennessee,2012,2019,546,30.4,15.4,6.0,1.9,0.7,0.5,.471,.512,.364,.822,39.4,.114"
"125,2009,NBA,2,46,CLE,Danny Green\greenda02,22.009,G-F,us,University of North Carolina,2010,2019,620,25.4,9.0,3.5,1.6,1.0,0.8,.424,.457,.404,.817,39.2,.119"
"126,2009,NBA,1,17,PHI,Jrue Holiday\holidjr01,19.018,G,us,University of California Los Angeles,2010,2019,652,33.1,15.6,3.8,6.4,1.5,0.5,.452,.486,.355,.784,39.1,.087"
"127,2005,NBA,1,8,NYK,Channing Frye\fryech01,22.048,C-F,us,University of Arizona,2006,2019,890,22.2,8.7,4.5,1.0,0.5,0.6,.440,.477,.388,.822,38.9,.094"
"128,2014,NBA,2,41,DEN,Nikola Joki?\jokicni01,19.132,C-F,rs,,2016,2019,308,28.3,16.3,9.6,5.1,1.1,0.7,.523,.571,.345,.828,38.9,.214"
"129,2011,NBA,1,22,DEN,Kenneth Faried\farieke01,21.221,F,us,Morehead State University,2012,2019,478,24.5,11.4,8.1,1.0,0.7,0.8,.546,.550,.222,.654,38.8,.159"
"130,2004,NBA,1,25,BOS,Tony Allen\allento01,22.170,G-F,us,Oklahoma State University,2005,2018,820,22.0,8.1,3.5,1.3,1.4,0.4,.475,.492,.282,.709,38.7,.103"
"131,2008,NBA,1,22,ORL,Courtney Lee\leeco01,22.272,G,us,Western Kentucky University,2009,2019,787,27.4,9.7,2.7,1.7,1.0,0.3,.450,.484,.387,.853,38.7,.086"
"132,2013,NBA,1,12,OKC,Steven Adams\adamsst01,19.347,C,nz,University of Pittsburgh,2014,2019,467,26.8,9.7,7.4,1.0,0.9,1.0,.588,.589,.000,.553,38.7,.148"
