,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
1304,Melvin Booker,15.55,1.725,4.15,0.4235,0.45,1.525,0.324,1.275,2.625,0.47975,0.49,0.7,0.825,0.6545,0.2,0.8,1.05,2.025,0.2,0.075,1.275,1.175,4.525,11.07
1305,Josh McRoberts,16.38461538,1.792307692,3.923076923,0.432769231,0.338461538,1.030769231,0.264769231,1.461538462,2.869230769,0.473,0.466769231,0.615384615,0.853846154,0.587538462,0.938461538,2.446153846,3.376923077,1.676923077,0.438461538,0.353846154,0.8,1.676923077,4.523076923,16.87
1306,Žarko Čabarkapa,9.6,1.7,3.64,0.467,0.18,0.58,0.232,1.5,3.06,0.4924,0.488,0.94,1.22,0.8004,0.72,1.3,2.02,0.48,0.2,0.12,0.66,1.2,4.52,25.316
1307,Walter McCarty,15.49166667,1.608333333,4.15,0.385666667,0.7,2.016666667,0.32775,0.916666667,2.141666667,0.437333333,0.470416667,0.583333333,0.866666667,0.642166667,0.608333333,1.766666667,2.383333333,0.95,0.525,0.258333333,0.783333333,1.958333333,4.508333333,15.2775
1308,Chris Hunter,13.1,1.8,3.6,0.502,0,0.1,0,1.8,3.6,0.512,0.502,0.9,1.2,0.754,0.9,1.9,2.8,0.6,0.2,0.6,0.5,2.2,4.5,18.95
1309,Theo Pinson,11.7,1.4,4.1,0.342,0.7,2.6,0.261,0.7,1.5,0.481,0.425,1.1,1.2,0.864,0.2,1.8,2,1.2,0.3,0,1,0.8,4.5,19.63
1310,Khem Birch,13.35,1.7,3,0.5715,0,0,0,1.7,3,0.5735,0.5715,1.1,1.6,0.694,1.65,2.4,4.05,0.8,0.4,0.55,0.45,1.35,4.5,23.965
1311,Malik Allen,14.20714286,1.992857143,4.457142857,0.445428571,0,0.021428571,0.154785714,1.985714286,4.428571429,0.447214286,0.446142857,0.507142857,0.614285714,0.8025,0.985714286,1.721428571,2.707142857,0.485714286,0.264285714,0.464285714,0.557142857,1.778571429,4.5,16.97285714
1312,Davis Bertans,12.1,1.5,3.5,0.44,1,2.6,0.399,0.5,0.9,0.557,0.588,0.4,0.5,0.824,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5,19.46
1313,Jemerrio Jones,23.8,2,5.5,0.364,0.3,1.7,0.2,1.7,3.8,0.435,0.394,0.2,0.3,0.5,2.7,5.5,8.2,2.2,1.2,0.8,0.8,1.7,4.5,20.16
