,Lat,Long,School
416,30.2849185,-97.7340567,Texas
417,38.0306511,-84.5039697,Kentucky
418,30.4418778,-84.2984889,Florida State
419,43.0391534,-76.1351158,Syracuse
420,40.0068363,-83.0306222,Ohio State
421,40.5008186,-74.44739910000001,Rutgers
422,39.9951217,-75.23993279999999,Saint Joseph's
423,40.4764166,-90.6871341,Western Illinois
424,38.9543439,-95.2557961,Kansas
425,38.9543439,-95.2557961,Kansas
426,42.2780436,-83.7382241,Michigan
427,29.6436325,-82.3549302,Florida
428,40.4237054,-86.92119459999999,Purdue
429,38.0306511,-84.5039697,Kentucky
430,29.6436325,-82.3549302,Florida
431,39.8411235,-86.17119079999999,Butler
432,32.77572170000001,-117.0718893,San Diego State
433,33.9480053,-83.3773221,Georgia
434,43.076592,-89.4124875,Wisconsin
435,34.068921,-118.4451811,UCLA
436,41.8077414,-72.2539805,Connecticut
437,33.9480053,-83.3773221,Georgia
438,33.207488,-97.1525862,North Texas
439,46.7319225,-117.1542121,Washington State
440,30.7129974,-95.5472905,Sam Houston State
441,30.7129974,-95.5472905,Sam Houston State
442,33.7756178,-84.39628499999999,Georgia Tech
443,38.9543439,-95.2557961,Kansas
444,30.4418778,-84.2984889,Florida State
445,36.0014258,-78.9382286,Duke
446,36.0014258,-78.9382286,Duke
447,38.0306511,-84.5039697,Kentucky
448,41.50249729999999,-81.6747185,Cleveland State
449,43.038473,-87.93044549999999,Marquette
450,40.0068363,-83.0306222,Ohio State
451,39.9811935,-75.1553512,Temple
452,40.2518435,-111.6493156,Brigham Young
453,40.00758099999999,-105.2659417,Colorado
454,42.6679486,-83.2081632,Oakland
455,42.3355488,-71.16849450000001,Boston College
456,36.0014258,-78.9382286,Duke
457,34.068921,-118.4451811,UCLA
458,30.2849185,-97.7340567,Texas
459,40.716792,-73.5994041,Hofstra
460,40.2518435,-111.6493156,Brigham Young
461,38.1886162,-83.4315122,Morehead State
462,35.9544013,-83.92945639999999,Tennessee
463,37.5758681,-77.5409744,Richmond
464,38.0306511,-84.5039697,Kentucky
465,32.7841884,-79.93708869999999,College of Charleston
466,36.8480161,-76.262085,Norfolk State
467,42.0784113,-78.48288219999999,St. Bonaventure
468,33.4551742,-88.79437659999999,Mississippi State
469,36.1757592,-85.5086374,Tennessee Tech
470,33.7756178,-84.39628499999999,Georgia Tech
471,36.0014258,-78.9382286,Duke
472,41.19189009999999,-111.9436903,Weber State
473,35.9049122,-79.0469134,North Carolina
474,41.8077414,-72.2539805,Connecticut
475,38.0306511,-84.5039697,Kentucky
476,40.1019523,-88.2271615,Illinois
477,43.0391534,-76.1351158,Syracuse
478,30.618531,-96.33649899999999,Texas A&M
479,38.0306511,-84.5039697,Kentucky
480,31.5497007,-97.1143046,Baylor
481,33.8230593,-85.7681082,Jacksonville State
482,38.0306511,-84.5039697,Kentucky
483,35.9049122,-79.0469134,North Carolina
484,38.6487895,-90.31079620000001,Washington
485,42.0266187,-93.6464654,Iowa State
486,38.9543439,-95.2557961,Kansas
487,38.9543439,-95.2557961,Kansas
488,36.0014258,-78.9382286,Duke
489,47.66644729999999,-117.4015208,Gonzaga
490,38.6487895,-90.31079620000001,Washington
491,40.0068363,-83.0306222,Ohio State
492,36.1447034,-86.8026551,Vanderbilt
493,27.7127448,-97.32414329999999,Texas A&M-Corpus Christi
494,41.8077414,-72.2539805,Connecticut
495,43.038473,-87.93044549999999,Marquette
496,44.5637806,-123.2794443,Oregon State
497,38.9403808,-92.32773750000001,Missouri
498,38.0306511,-84.5039697,Kentucky
499,35.118741,-89.937141,Memphis
500,29.6436325,-82.3549302,Florida
501,35.9049122,-79.0469134,North Carolina
502,31.5497007,-97.1143046,Baylor
503,41.3797788,-83.6300826,Bowling Green State
504,30.2114404,-92.0204121,Louisiana
505,40.4237054,-86.92119459999999,Purdue
506,35.9049122,-79.0469134,North Carolina
507,43.0391534,-76.1351158,Syracuse
508,31.5497007,-97.1143046,Baylor
509,38.0306511,-84.5039697,Kentucky
510,38.0306511,-84.5039697,Kentucky
511,36.1447034,-86.8026551,Vanderbilt
512,30.4418778,-84.2984889,Florida State
513,43.038473,-87.93044549999999,Marquette
514,34.4139629,-119.848947,UC-Santa Barbara
515,38.9403808,-92.32773750000001,Missouri
516,36.1447034,-86.8026551,Vanderbilt
517,40.7220627,-73.79421119999999,St. John's (NY)
518,30.4132579,-91.1800023,Louisiana State
519,40.6048687,-75.3775187,Lehigh
520,42.701848,-84.4821719,Michigan State
521,38.0306511,-84.5039697,Kentucky
522,39.1754487,-86.512627,Indiana
523,40.9547721,-76.885076,Bucknell
524,34.068921,-118.4451811,UCLA
525,29.6436325,-82.3549302,Florida
526,47.66644729999999,-117.4015208,Gonzaga
527,38.9076089,-77.07225849999999,Georgetown
528,37.3148783,-89.52804379999999,Southeast Missouri State
529,29.5829699,-98.61972,Texas-San Antonio
530,36.0014258,-78.9382286,Duke
531,38.9403808,-92.32773750000001,Missouri
532,35.2058936,-97.4457137,Oklahoma
533,33.207488,-97.1525862,North Texas
534,38.9869183,-76.9425543,Maryland
535,36.0014258,-78.9382286,Duke
536,25.7191685,-80.2771253,Miami (FL)
537,38.9543439,-95.2557961,Kansas
538,42.414062,-83.1379029,Detroit Mercy
539,40.0068363,-83.0306222,Ohio State
540,38.9543439,-95.2557961,Kansas
541,44.3189457,-96.783968,South Dakota State
542,39.1754487,-86.512627,Indiana
543,40.00758099999999,-105.2659417,Colorado
544,38.2122761,-85.75850229999999,Louisville
545,35.0843187,-106.6197812,New Mexico
546,43.0391534,-76.1351158,Syracuse
547,35.9049122,-79.0469134,North Carolina
548,42.2780436,-83.7382241,Michigan
549,36.6163842,-88.3214979,Murray State
550,33.9480053,-83.3773221,Georgia
551,38.2122761,-85.75850229999999,Louisville
552,37.3641651,-120.4254615,University of California
553,40.4443533,-79.960835,Pittsburgh
554,35.7846633,-78.6820946,North Carolina State
555,36.1085197,-115.1431709,Nevada-Las Vegas
556,32.2318851,-110.9501094,Arizona
557,42.2780436,-83.7382241,Michigan
558,44.0448302,-123.0726055,Oregon
559,31.5497007,-97.1143046,Baylor
560,40.573436,-105.0865473,Colorado State
