",,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced"
"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"117,2018,NBA,2,57,OKC,Kevin Hervey\herveke01,21.352,F,us,University of Texas at Arlington,,,,,,,,,,,,,,,"
"118,2018,NBA,2,58,DEN,Thomas Welsh\welshth01,22.144,C,us,University of California Los Angeles,2019,2019,11,3.3,1.6,0.4,0.5,0.0,0.0,.538,.667,.429,.500,0.1,.162"
"119,2018,NBA,2,59,PHO,George King\kingge03,24.163,G-F,us,University of Colorado,2019,2019,1,6.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,-0.001"
"120,2018,NBA,2,60,PHI,Kostas Antetokounmpo\antetko01,20.218,F,gr,University of Dayton,2019,2019,2,5.5,1.0,0.5,0.0,1.0,0.0,.000,.000,,.500,-0.1,-0.247"
"121,2017,NBA,1,1,PHI,Markelle Fultz\fultzma01,19.029,G,us,University of Washington,2018,2019,33,20.6,7.7,3.4,3.4,0.9,0.3,.414,.422,.267,.534,0.5,.038"
"122,2017,NBA,1,2,LAL,Lonzo Ball\balllo01,19.243,G,us,University of California Los Angeles,2018,2019,99,32.4,10.0,6.2,6.4,1.6,0.6,.380,.449,.315,.437,3.5,.053"
"123,2017,NBA,1,3,BOS,Jayson Tatum\tatumja01,19.116,F,us,Duke University,2018,2019,159,30.8,14.8,5.5,1.9,1.1,0.7,.461,.487,.400,.840,12.0,.118"
"124,2017,NBA,1,4,PHO,Josh Jackson\jacksjo02,20.137,F-G,us,University of Kansas,2018,2019,156,25.3,12.3,4.5,1.9,1.0,0.6,.415,.455,.294,.650,-2.4,-0.029"
"125,2017,NBA,1,5,SAC,De'Aaron Fox\foxde01,19.189,G,us,University of Kentucky,2018,2019,154,29.7,14.6,3.3,5.9,1.3,0.4,.439,.462,.345,.725,5.0,.053"
"126,2017,NBA,1,6,ORL,Jonathan Isaac\isaacjo01,19.267,F,us,Florida State University,2018,2019,102,24.8,8.5,5.0,1.0,0.9,1.3,.419,.484,.327,.806,4.2,.080"
"127,2017,NBA,1,7,MIN,Lauri Markkanen\markkla01,20.036,F-C,fi,University of Arizona,2018,2019,120,30.9,16.7,8.2,1.3,0.6,0.6,.432,.488,.362,.859,6.1,.079"
"128,2017,NBA,1,8,NYK,Frank Ntilikina\ntilila01,18.334,G,be,,2018,2019,121,21.6,5.9,2.2,3.1,0.8,0.3,.354,.380,.305,.735,-1.8,-0.033"
"129,2017,NBA,1,9,DAL,Dennis Smith\smithde03,19.214,G,us,North Carolina State University,2018,2019,122,29.2,14.5,3.4,5.0,1.1,0.3,.407,.452,.316,.668,-0.7,-0.009"
"130,2017,NBA,1,10,SAC,Zach Collins\colliza01,19.220,C-F,us,Gonzaga University,2018,2019,143,16.8,5.6,3.8,0.9,0.3,0.7,.441,.503,.321,.720,3.6,.072"
"131,2017,NBA,1,11,CHO,Malik Monk\monkma01,19.143,G,us,University of Kentucky,2018,2019,136,15.5,7.9,1.5,1.5,0.4,0.2,.376,.429,.335,.871,0.3,.007"
"132,2017,NBA,1,12,DET,Luke Kennard\kennalu01,21.003,G,us,Duke University,2018,2019,136,21.3,8.6,2.6,1.8,0.5,0.2,.441,.474,.403,.847,5.1,.085"
"133,2017,NBA,1,13,DEN,Donovan Mitchell\mitchdo01,20.293,G,us,University of Louisville,2018,2019,156,33.6,22.1,3.9,3.9,1.4,0.4,.434,.483,.351,.805,10.2,.094"
"134,2017,NBA,1,14,MIA,Bam Adebayo\adebaba01,19.344,C-F,us,University of Kentucky,2018,2019,151,21.7,8.0,6.5,1.9,0.7,0.7,.550,.561,.136,.728,11.0,.161"
"135,2017,NBA,1,15,POR,Justin Jackson\jacksju01,22.092,G-F,us,University of North Carolina,2018,2019,149,20.9,7.0,2.7,1.1,0.4,0.2,.445,.544,.335,.765,3.9,.059"
"136,2017,NBA,1,16,CHI,Justin Patton\pattoju01,20.013,C,us,Creighton University,2018,2019,4,6.3,1.8,1.5,0.8,0.8,0.0,.333,.429,.000,.500,0.0,.090"
"137,2017,NBA,1,17,MIL,D.J. Wilson\wilsodj01,21.129,F,us,University of Michigan,2018,2019,70,13.6,4.3,3.3,0.8,0.3,0.3,.423,.481,.364,.551,1.8,.090"
"138,2017,NBA,1,18,IND,T.J. Leaf\leaftj01,20.058,F,il,University of California Los Angeles,2018,2019,111,8.8,3.4,1.9,0.3,0.1,0.2,.511,.557,.356,.617,2.4,.117"
"139,2017,NBA,1,19,ATL,John Collins\collijo01,19.277,F,us,Wake Forest University,2018,2019,135,26.8,14.6,8.4,1.6,0.5,0.9,.566,.605,.346,.743,11.4,.152"
"140,2017,NBA,1,20,POR,Harry Giles\gilesha01,19.066,F-C,us,Duke University,2019,2019,58,14.1,7.0,3.8,1.5,0.5,0.4,.503,.512,.000,.637,1.0,.056"
"141,2017,NBA,1,21,OKC,Terrance Ferguson\fergute01,19.041,G-F,us,,2018,2019,135,20.0,5.2,1.4,0.7,0.5,0.2,.425,.574,.356,.754,4.0,.072"
"142,2017,NBA,1,22,BRK,Jarrett Allen\allenja01,19.067,C-F,us,University of Texas at Austin,2018,2019,152,23.3,9.6,7.0,1.0,0.5,1.4,.590,.617,.183,.732,11.9,.161"
"143,2017,NBA,1,23,TOR,OG Anunoby\anunoog01,19.345,F,gb,Indiana University,2018,2019,141,20.1,6.4,2.7,0.7,0.7,0.3,.461,.587,.351,.605,5.0,.085"
"144,2017,NBA,1,24,UTA,Tyler Lydon\lydonty01,21.079,F,us,Syracuse University,2018,2019,26,3.7,0.9,0.7,0.2,0.1,0.0,.500,.625,.400,.333,0.2,.084"
"145,2017,NBA,1,25,ORL,Anžejs Pase??iks\pasecan01,21.190,C,lv,,,,,,,,,,,,,,,,"
"146,2017,NBA,1,26,POR,Caleb Swanigan\swanica01,20.070,F,us,Purdue University,2018,2019,48,7.6,2.2,2.5,0.5,0.2,0.1,.372,.408,.133,.667,-0.2,-0.031"
"147,2017,NBA,1,27,BRK,Kyle Kuzma\kuzmaky01,21.339,F,us,University of Utah,2018,2019,147,32.1,17.3,5.9,2.2,0.6,0.4,.453,.533,.335,.731,7.0,.071"
