Player,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Ersan Ilyasova,ATL,24.3,3.6,8.7,0.41200000000000003,1.2,3.5,0.348,2.3,5.2,0.455,0.48200000000000004,2.0,2.5,0.8,1.6,4.2,5.8,1.7,0.8,0.3,1.3,2.8,10.4,23.85
Danny Schayes,DEN,22.5,3.1,6.2,0.494,0.0,0.1,0.0,3.1,6.2,0.5,0.494,4.2,5.0,0.852,2.2,4.2,6.5,1.2,0.8,0.8,1.4,3.8,10.4,25.89
Mike James,PHO,20.9,3.8,9.8,0.38799999999999996,0.8,3.0,0.268,3.0,6.7,0.442,0.429,2.0,2.6,0.762,0.4,2.4,2.8,3.8,0.8,0.2,1.5,1.4,10.4,27.93
Kenneth Faried,TOT,19.7,4.2,7.2,0.589,0.2,0.7,0.32,4.0,6.5,0.617,0.604,1.7,2.7,0.6459999999999999,2.6,4.1,6.8,0.5,0.5,0.6,0.9,2.2,10.4,29.98
Wayne Ellington,CLE,25.9,3.8,8.7,0.439,1.4,3.8,0.371,2.4,4.9,0.49200000000000005,0.52,1.4,1.6,0.898,0.5,2.5,3.0,1.6,0.8,0.1,0.9,1.1,10.4,21.27
Chris Gatling,DEN,19.3,3.9,8.5,0.456,0.3,1.2,0.23399999999999999,3.6,7.3,0.491,0.47200000000000003,2.4,3.2,0.742,1.6,3.6,5.1,0.8,0.9,0.3,1.6,2.6,10.4,27.48
Mark Jackson,DEN,38.5,3.7,8.7,0.425,0.9,2.3,0.397,2.8,6.4,0.435,0.478,2.1,2.6,0.8009999999999999,1.4,3.8,5.2,12.3,1.0,0.2,3.3,2.0,10.4,21.93
Rory Sparrow,SAC,29.7,4.6,9.5,0.491,0.4,1.0,0.397,4.3,8.5,0.501,0.511,0.7,1.0,0.6990000000000001,0.6,1.8,2.3,4.5,1.0,0.2,1.6,2.4,10.4,19.66
Randy Foye,LAC,25.25,3.5999999999999996,9.15,0.39299999999999996,1.55,4.25,0.35650000000000004,2.05,4.9,0.42,0.47550000000000003,1.6,1.85,0.8760000000000001,0.30000000000000004,1.5499999999999998,1.85,2.45,0.7,0.35,1.3,1.95,10.4,20.814999999999998
Jonathon Simmons,ORL,25.0,3.8,9.0,0.4145,0.75,2.5,0.2835,3.0999999999999996,6.55,0.4655,0.454,2.05,2.65,0.773,0.75,2.25,2.95,2.4,0.6000000000000001,0.25,1.75,2.1,10.4,20.07
Chris Kaman,LAL,18.9,4.5,8.9,0.509,0.0,0.1,0.0,4.5,8.8,0.513,0.509,1.3,1.7,0.765,1.4,4.5,5.9,1.5,0.3,1.0,1.9,2.4,10.4,27.91
Dewayne Dedmon,ATL,25.0,4.0,7.949999999999999,0.508,1.05,2.8499999999999996,0.3685,3.0,5.1,0.5825,0.5740000000000001,1.25,1.6,0.7965,1.6,6.1,7.7,1.45,0.8500000000000001,0.9500000000000001,1.35,2.95,10.4,24.575
Rod Strickland,MIA,30.2,4.2,9.4,0.44299999999999995,0.1,0.3,0.308,4.1,9.1,0.44799999999999995,0.44799999999999995,2.0,2.6,0.7659999999999999,0.6,2.4,3.1,6.1,1.1,0.1,2.1,1.5,10.4,21.47
Stanley Roberts,ORL,20.3,4.3,8.1,0.529,0.0,0.0,0.0,4.3,8.1,0.53,0.529,1.8,3.6,0.515,2.1,4.1,6.1,0.7,0.4,1.5,1.4,4.0,10.4,27.15
Mason Plumlee,TOT,26.5,4.1,7.7,0.536,0.0,0.1,0.0,4.1,7.6,0.541,0.536,2.1,3.7,0.58,2.1,5.4,7.5,3.5,0.9,1.1,1.7,2.8,10.4,25.68
Sidney Green,ORL,25.5,4.3,9.1,0.46799999999999997,0.0,0.0,0.33299999999999996,4.3,9.1,0.46799999999999997,0.469,1.9,2.9,0.6509999999999999,2.3,5.8,8.1,1.4,0.7,0.4,1.6,3.2,10.4,23.09
David Wesley,HOU,33.75,3.45,8.55,0.40349999999999997,1.5499999999999998,4.1,0.374,1.9500000000000002,4.5,0.43,0.4925,1.9500000000000002,2.35,0.8240000000000001,0.4,2.2,2.55,2.9,0.9500000000000001,0.1,1.4,2.9,10.4,16.009999999999998
Larry Hughes,NYK,27.0,3.5999999999999996,9.5,0.378,1.15,3.35,0.33699999999999997,2.45,6.1,0.3995,0.43800000000000006,2.05,2.5,0.8085,0.45,2.6,3.05,2.95,1.35,0.30000000000000004,1.6,1.75,10.399999999999999,21.66
Danny Ainge,POR,20.549999999999997,3.95,8.600000000000001,0.457,1.15,2.95,0.3725,2.8,5.65,0.502,0.5215,1.35,1.65,0.825,0.55,1.65,2.2,3.05,0.8500000000000001,0.2,1.1,2.1,10.399999999999999,27.560000000000002
Ricky Rubio,MIN,31.850000000000005,3.266666666666666,8.850000000000001,0.37166666666666676,0.6666666666666666,2.15,0.3085,2.6333333333333333,6.666666666666668,0.39266666666666666,0.4096666666666667,3.1833333333333336,3.8333333333333326,0.8241666666666667,0.7166666666666667,3.6833333333333336,4.416666666666667,8.450000000000001,2.0666666666666664,0.09999999999999999,2.816666666666667,2.6,10.383333333333333,23.65833333333333
Kyle Korver,PHI,26.580000000000002,3.62,8.7,0.4072,1.8799999999999997,4.66,0.3996,1.72,4.0200000000000005,0.4124,0.5184,1.26,1.44,0.8642000000000001,0.42000000000000004,2.7399999999999998,3.1599999999999997,1.48,0.8,0.26,1.1599999999999997,2.5,10.379999999999999,19.314
Marco Belinelli,SAS,23.53333333333333,3.6666666666666665,8.333333333333332,0.4403333333333333,1.6333333333333335,4.133333333333334,0.39200000000000007,2.0333333333333337,4.2,0.488,0.537,1.3999999999999997,1.6000000000000003,0.866,0.26666666666666666,2.3333333333333335,2.6,1.8,0.5,0.06666666666666667,1.0333333333333334,1.5,10.366666666666667,21.870000000000005
Courtney Lee,MEM,29.933333333333334,3.9,8.466666666666667,0.4606666666666666,1.0666666666666667,2.8333333333333335,0.37233333333333335,2.866666666666667,5.6000000000000005,0.505,0.523,1.5333333333333332,1.7666666666666666,0.862,0.3666666666666667,2.1,2.4666666666666663,1.7333333333333334,0.9666666666666667,0.30000000000000004,1.0,1.6666666666666667,10.366666666666667,18.176666666666666
Juwan Howard,HOU,28.266666666666666,4.266666666666667,9.3,0.4583333333333333,0.0,0.03333333333333333,0.0,4.266666666666667,9.3,0.45933333333333337,0.4583333333333333,1.8,2.233333333333333,0.8243333333333333,1.9666666666666668,4.133333333333333,6.1000000000000005,1.5,0.5,0.10000000000000002,1.4666666666666668,2.5999999999999996,10.366666666666665,19.21
Donyell Marshall,TOT,26.166666666666668,3.9,9.466666666666667,0.39399999999999996,1.0666666666666667,3.1333333333333333,0.3233333333333333,2.8666666666666667,6.333333333333333,0.43399999999999994,0.45366666666666666,1.4333333333333333,2.0333333333333337,0.7540000000000001,1.8,4.333333333333333,6.133333333333333,1.1333333333333333,0.6333333333333334,1.1,1.2,2.1333333333333333,10.366666666666665,21.756666666666664
Tyrone Nesby,LAC,27.099999999999998,3.8333333333333335,9.8,0.39066666666666666,0.9,3.0,0.30566666666666664,2.9,6.8,0.4306666666666667,0.43599999999999994,1.8333333333333333,2.3000000000000003,0.7853333333333333,1.1,2.3000000000000003,3.4333333333333336,1.3666666666666665,1.0666666666666667,0.3666666666666667,1.0666666666666667,2.5666666666666664,10.366666666666665,20.150000000000002
Jordan Crawford,NOP,16.95,3.95,8.45,0.463,1.75,3.9,0.48000000000000004,2.2,4.55,0.4305,0.5800000000000001,0.65,0.7999999999999999,0.8845000000000001,0.30000000000000004,1.0,1.3,2.8,0.4,0.15000000000000002,1.15,1.5,10.35,31.215000000000003
Darrell Armstrong,NOH,28.9,3.75,10.350000000000001,0.364,1.45,5.2,0.279,2.3,5.15,0.45599999999999996,0.43700000000000006,1.5,1.65,0.8795000000000001,0.9500000000000001,2.2,3.15,4.25,1.4,0.15000000000000002,2.0,2.0,10.35,21.36
Robin Lopez,POR,29.75,4.15,7.65,0.543,0.0,0.0,0.0,4.15,7.6,0.5445,0.543,2.05,2.6,0.7949999999999999,3.6,4.05,7.6,0.9,0.3,1.5499999999999998,1.1,2.25,10.35,22.119999999999997
Antoine Walker,MIA,25.05,4.1,9.8,0.41600000000000004,1.4,4.3,0.3165,2.7,5.5,0.496,0.486,0.8,1.4500000000000002,0.5329999999999999,1.25,3.55,4.699999999999999,1.85,0.6,0.30000000000000004,1.8,2.25,10.35,20.965
Eddy Curry,NYK,19.98,3.7399999999999998,6.74,0.6132,0.0,0.0,0.2,3.7399999999999998,6.74,0.6130000000000001,0.6132,2.8400000000000003,4.68,0.5582,1.3800000000000001,2.8,4.18,0.32,0.2,0.38,2.1599999999999997,2.58,10.34,16.664
